UserID,TARGET,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61
247408,0,0.016612,-12665,-4365,7,1,1,0,1,0,4,2,16,0,0,0,0.739104609,0.791074913,0.1371,0.0554,0.3333,0.375,0.0579,0.1076,0.1299,0.0193,0.0714,0.1397,0.0575,0.9782,0.0567,0.1611,0.1379,0.375,0.0592,0.1175,0.1354,0.0195,0.0756,0.1384,0.0554,0.7048,0.0565,0.16,0.1379,0.3333,0.0589,0.1095,0.1323,0.0729,1,1,-2622,0,1,0,0,0,0,0,0,1
153916,0,0.007274,-12748,-4880,17,1,1,0,1,0,4,2,10,0,1,1,0.56520923,0.565607981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-520,0,0,0,0,0,0,0,0,0
229065,0,0.026392,-23441,-4634,,1,0,0,1,0,1,2,11,0,0,0,0.642721487,0.531686143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,-1285,0,1,0,0,0,1,0,0,7
282013,0,0.019101,-22793,-4478,,1,0,0,1,0,1,2,12,0,0,0,0.331750168,0.531686143,0.057,0.0273,0.2358,0.1667,0.0147,0.0431,0.0617,0.0167,0.0208,0.0546,0,0.9891,0,0,0.0345,0.0417,0.0065,0.0441,0.027,0.0233,0.0152,0.0562,0.0364,0.9396,0.0104,0.04,0.0345,0.2083,0.015,0.0445,0.0572,0.0154,5,0,-177,0,0,0,1,0,0,0,0,1
142266,0,0.022625,-13829,-1803,,1,1,0,1,0,2,2,12,0,0,0,0.627515102,0.324891229,0.0165,,0.0417,,,,0.0112,,0,0.0168,,0.9851,,0,0.069,,,,0.0117,,0,0.0167,,,,0,0.069,0.0417,,,0.0114,0,0,0,-718,0,1,0,0,0,0,0,1,1
330221,0,0.006233,-19423,-2955,14,1,1,0,1,0,2,2,16,0,0,0,0.548060132,,0.0825,0.0564,0.375,0.4167,,0.0672,0.0838,0,0,0.084,0.0585,0.9866,0.0202,0.0806,0.069,0.4167,,0.0735,0.0873,0,0,0.0833,0.0564,0.8189,0.0201,0.08,0.069,0.375,,0.0684,0.0853,0,0,0,-2020,0,1,0,0,0,,,,
171519,0,0.010032,-13191,-4403,,1,1,0,1,0,2,2,7,0,0,0,0.469447248,0.475849909,0.0825,0.0808,0.1667,,,,0.0594,,,0.084,0.0833,0.9757,,0,0.1379,,,,0.0492,,,0.0833,0.0808,0.6713,,0,0.1379,0.1667,,,0.0605,,0,0,0,0,1,0,0,0,0,1,0,0
385229,0,0.011657,-15181,-3202,,1,1,0,1,0,2,1,13,1,0,0,0.6854072,0.626304277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2062,0,1,0,0,0,0,0,1,0
273675,0,0.02461,-23737,-3904,,1,0,0,1,0,2,2,14,0,0,0,0.475142551,0.627990819,0.0062,0,0,,0.0213,,0.0059,,0,0.0063,0,0.9518,,0,0.0345,,0.0218,,0.0061,,0,0.0062,0,,,0,0.0345,0,0.0217,,0.006,0,0,0,-1118,0,0,0,1,0,0,0,0,0
171005,0,0.003813,-15372,-4426,13,1,1,0,1,0,2,2,8,0,1,1,0.03694389,,0.0825,0.0769,0.1667,0.0417,,,0.0694,,,0.084,0.0798,0.9772,0.0081,0,0.1379,0.0417,,,0.0723,,,0.0833,0.0769,0.6914,0.0081,0,0.1379,0.1667,,,0.0707,,0,0,-21,0,0,0,0,0,,,,
368904,0,0.018634,-13629,-4561,,1,1,1,1,0,4,2,13,0,0,0,0.186541233,0.634705531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,-1741,0,1,0,0,0,0,0,1,3
338922,0,0.009334,-15938,-2756,,1,1,1,1,0,3,2,13,0,0,0,0.717264408,0.283711883,0.0124,,0.0417,,0.0264,,0.0101,,0.0162,0.0126,,0.9732,,0,0.069,,0.027,,0.0105,,0.0171,0.0125,,,,0,0.069,0.0417,0.0269,,0.0103,0.0165,3,1,-2903,0,1,0,0,0,0,0,0,1
266870,0,0.010147,-14391,-4390,9,1,1,0,1,0,3,2,10,0,1,1,0.603136958,0.795803133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-405,0,0,0,0,0,0,0,1,1
307881,0,0.00963,-16779,-330,,1,1,0,1,0,2,2,10,0,0,1,0.478481083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-511,0,1,0,0,0,,,,
267426,0,0.0228,-16221,-4107,16,1,1,0,1,0,4,2,15,0,0,0,0.447906225,0.808393591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,-2305,0,1,0,0,0,0,0,0,0
301311,1,0.019101,-21162,-4553,,1,0,0,1,0,2,2,14,0,0,0,0.551475553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-1906,0,1,0,0,0,,,,
385327,0,0.008625,-15687,-3977,,1,1,0,1,0,3,2,10,0,0,0,0.493283473,0.616121691,0.066,0.0442,0.125,,,,0.0526,,,0.0672,0.0459,0.9737,,,0.1379,,,,0.0549,,,0.0666,0.0442,,,,0.1379,0.125,,,0.0536,,0,0,-367,0,1,0,0,0,0,0,0,0
167193,0,0.031329,-13838,-4024,6,1,1,0,1,0,3,2,16,0,0,0,0.691630325,0.759712182,0.2598,0.204,0.3333,0.375,0.1222,0.2118,0.2707,0,0,0.2647,0.2117,0.9861,0.0658,0.282,0.2414,0.375,0.125,0.2314,0.282,0,0,0.2623,0.204,0.8121,0.0656,0.28,0.2414,0.3333,0.1243,0.2155,0.2755,0,0,0,-416,0,0,0,0,0,0,0,1,0
383858,0,0.02461,-10514,-2530,,1,1,1,1,0,1,2,10,0,0,0,0.064609378,,0.0124,0,0.0417,,0.0223,,0.01,,0,0.0126,0,0.9687,,0,0.069,,0.0228,,0.0104,,0,0.0125,0,,,0,0.069,0.0417,0.0227,,0.0102,0,1,1,-130,0,1,0,0,0,,,,
248242,0,0.072508,-9795,-526,,1,1,0,1,0,2,1,12,1,0,0,0.585354499,0.528092751,0.2959,0.1899,0.3333,0.375,0,0.2412,0.282,0,0.0016,0.3015,0.197,0.9777,0.0108,0.3222,0.2759,0.375,0,0.2635,0.2938,0,0.0016,0.2987,0.1899,0.6981,0.0108,0.32,0.2759,0.3333,0,0.2454,0.2871,0.0016,0,0,-397,0,0,0,0,0,0,0,0,0
