,Feature1,Feature2,Feature3,Feature4,Feature6,Feature7,Feature10,Feature11,Feature12,Feature14,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature32,Feature34,Feature35,Feature36,Feature38,Feature40,Feature42,Feature44,Feature50,Feature51,Feature52,Feature54,Feature59,Feature61,UserID,TARGET
0,0.016612000000000002,-12665,-4365,7.0,1,0,4,2,16,0,0.7391046090000001,0.791074913,0.1371,0.0554,0.3333,0.375,0.0579,0.1076,0.1299,0.0193,0.0714,0.1397,0.0575,0.9782,0.0567,0.1379,0.0592,0.1175,0.1354,0.0756,0.0554,0.0565,0.1379,1.0,1.0,-2622,1,0.0,1.0,247408,0
17,0.031329,-13838,-4024,6.0,1,0,3,2,16,0,0.691630325,0.759712182,0.2598,0.204,0.3333,0.375,0.1222,0.2118,0.2707,0.0,0.0,0.2647,0.2117,0.9861,0.0658,0.2414,0.125,0.2314,0.282,0.0,0.204,0.0656,0.2414,0.0,0.0,-416,0,0.0,0.0,167193,0
24,0.019688999999999998,-15128,-4205,3.0,1,0,3,2,16,0,0.590355867,0.481249341,0.0505,0.034,0.2292,0.375,0.0371,0.0605,0.0579,0.0,0.011000000000000001,0.0273,0.0,0.9821,0.0177,0.069,0.0258,0.0661,0.0212,0.0,0.034,0.0176,0.069,5.0,1.0,-1536,1,0.0,3.0,345809,0
51,0.032561,-15444,-4094,14.0,1,1,2,1,10,0,0.660196441,0.11247435,0.1216,0.1175,0.5417,0.5833,0.0597,0.0983,0.0828,0.0039,0.065,0.1239,0.122,0.9826,0.0425,0.0345,0.0611,0.1074,0.0863,0.0688,0.1175,0.0424,0.0345,0.0,0.0,-716,1,1.0,0.0,147090,1
58,0.016612000000000002,-9266,-1589,10.0,1,1,2,2,10,0,0.530888727,0.320163367,0.0753,0.0,0.1667,0.2083,0.040999999999999995,0.0605,0.0613,0.0039,0.0108,0.0767,0.0,0.9762,0.0274,0.1034,0.042,0.0661,0.0639,0.0114,0.0,0.0273,0.1034,0.0,0.0,-26,0,0.0,0.0,244320,0
84,0.007114,-21300,-4155,5.0,1,1,2,2,13,1,0.6955758000000001,0.11987796099999999,0.0619,0.0627,0.1667,0.0417,0.0573,0.0504,0.0543,0.0,0.0,0.063,0.065,0.9846,0.0089,0.1379,0.0587,0.0551,0.0566,0.0,0.0627,0.0089,0.1379,0.0,0.0,-713,0,0.0,1.0,302914,0
92,0.035792000000000004,-15418,-4903,3.0,1,0,2,2,16,0,0.727984457,0.286652483,0.0247,0.0409,0.0833,0.125,0.0174,0.0202,0.0216,0.0,0.0,0.0252,0.0425,0.9806,0.0141,0.069,0.0177,0.022000000000000002,0.0225,0.0,0.0409,0.0141,0.069,8.0,1.0,-2833,0,0.0,0.0,156939,0
94,0.020246,-15120,-3720,1.0,1,0,3,3,13,1,0.650590835,0.5316861429999999,0.1196,0.1016,0.3333,0.375,0.0364,0.0967,0.1455,0.0039,0.0058,0.1218,0.1055,0.9826,0.028999999999999998,0.1379,0.0372,0.1056,0.1516,0.0062,0.1016,0.0289,0.1379,0.0,0.0,-281,1,0.0,0.0,130304,0
103,0.010006000000000001,-13292,-622,2.0,1,0,2,2,11,0,0.68468533,0.19294222800000002,0.1546,0.2292,0.1667,0.0417,0.0,0.1261,0.1788,0.0,0.0,0.1576,0.2378,0.998,0.0453,0.2069,0.0,0.1377,0.1863,0.0,0.2292,0.0452,0.2069,0.0,0.0,-1312,0,0.0,2.0,193379,0
107,0.020246,-10598,-630,6.0,1,0,4,3,9,1,0.47260194,0.483050188,0.066,0.0799,0.1667,0.0,0.0375,0.0538,0.0508,0.0,0.0459,0.0672,0.0829,0.9772,0.0,0.1379,0.0383,0.0588,0.0529,0.0486,0.0799,0.0,0.1379,0.0,0.0,-1823,1,0.0,0.0,100678,0
140,0.035792000000000004,-16660,-207,1.0,1,1,2,2,17,1,0.677245887,0.450747282,0.2691,0.1273,0.5833,0.5417,0.1826,0.2101,0.3482,0.0425,0.1006,0.2742,0.1321,0.9985,0.1254,0.1379,0.1868,0.2296,0.3628,0.1065,0.1273,0.1251,0.1379,0.0,0.0,-1372,0,1.0,3.0,283842,0
142,0.007305,-16932,-483,15.0,1,0,4,3,10,0,0.652725323,0.758393062,0.1649,0.1167,0.375,0.4167,0.0203,0.1345,0.1878,0.0,0.0,0.1681,0.1211,0.9876,0.0385,0.1379,0.0207,0.1469,0.1956,0.0,0.1167,0.0384,0.1379,0.0,0.0,-1490,0,0.0,8.0,281636,0
154,0.032561,-17167,-723,5.0,1,1,2,1,15,0,0.8025190040000001,0.235310517,0.2598,0.2473,0.2083,0.25,0.0,0.2034,0.2456,0.0386,0.2078,0.2647,0.2567,0.9866,0.0573,0.4828,0.0,0.2222,0.2559,0.22,0.2473,0.0571,0.4828,5.0,0.0,-1897,0,0.0,1.0,324924,0
165,0.010147,-22747,-4064,11.0,0,0,2,2,12,0,0.728611894,0.465069215,0.1216,0.1297,0.1667,0.2083,0.1641,0.0992,0.122,0.0,0.0,0.1239,0.1346,0.9831,0.0618,0.2759,0.1679,0.1084,0.1271,0.0,0.1297,0.0616,0.2759,2.0,0.0,-2181,1,0.0,4.0,379256,0
